temperature,humidity,pm25,co2,target
13.6,48.9,1692.0,1046.0,1
13.3,47.7,1559.0,955.0,1
11.9,54.0,1555.0,939.0,1
11.0,60.0,1584.0,948.0,1
11.2,59.6,1490.0,836.0,1
11.2,59.2,1393.0,750.0,0
11.3,56.8,1333.0,690.0,0
10.7,60.0,1333.0,672.0,0
10.7,59.7,1276.0,609.0,0
11.0,56.2,1182.0,512.0,0
10.5,58.1,1221.0,553.0,0
10.2,59.6,1339.0,667.0,0
10.8,57.4,1517.0,900.0,1
10.5,60.6,1583.0,960.0,1
10.8,58.4,1446.0,827.0,0
10.5,57.9,1362.0,762.0,0
9.5,66.8,1401.0,774.0,0
8.3,76.4,1537.0,869.0,1
8.0,81.1,1730.0,1034.0,1
8.3,79.8,1647.0,933.0,1
9.7,71.2,1591.0,912.0,1
9.8,67.6,1719.0,1020.0,1
10.3,64.2,2083.0,1319.0,1
9.7,69.3,2333.0,1488.0,1
9.6,67.8,2191.0,1404.0,1
9.1,64.0,1707.0,1076.0,1
8.2,63.4,1333.0,749.0,0
8.2,60.8,1252.0,629.0,0
8.3,58.5,1375.0,805.0,0
7.7,59.7,1378.0,829.0,0
7.1,61.8,1304.0,718.0,0
6.3,65.0,1155.0,501.0,0
6.8,62.9,1223.0,571.0,0
6.4,65.1,1361.0,730.0,0
7.3,63.1,1900.0,1236.0,1
13.2,41.7,1712.0,1118.0,1
14.3,38.4,1598.0,1037.0,1
15.0,36.5,1537.0,986.0,0
16.1,34.5,1593.0,1016.0,0
16.3,35.7,1660.0,1078.0,1
15.8,37.0,1740.0,1122.0,1
15.9,37.2,1657.0,1073.0,1
16.9,34.3,1610.0,1041.0,1
15.1,39.6,1910.0,1277.0,1
14.4,43.4,1847.0,1246.0,1
12.9,50.5,2390.0,1610.0,1
12.1,53.3,1941.0,1299.0,1
11.0,59.1,1723.0,1127.0,1
9.7,64.6,2062.0,1346.0,1
9.5,64.1,1544.0,964.0,1
9.1,63.9,1463.0,873.0,0
8.8,63.9,1365.0,782.0,0
8.3,63.6,1274.0,625.0,0
7.2,67.5,1268.0,646.0,0
6.3,71.9,1409.0,770.0,0
6.5,71.6,1678.0,1043.0,1
9.6,59.7,1777.0,1153.0,1
12.4,51.2,1667.0,1081.0,1
15.6,42.2,1780.0,1184.0,1
18.4,33.8,1679.0,1117.0,1
19.4,31.3,1600.0,1059.0,1
18.0,34.8,1488.0,924.0,0
18.4,33.6,1532.0,947.0,0
17.6,35.1,1554.0,987.0,1
16.7,37.8,1602.0,1000.0,1
16.1,41.0,1779.0,1163.0,1
15.8,42.4,1922.0,1286.0,1
15.7,44.1,1915.0,1274.0,1
15.3,46.8,1860.0,1247.0,1
14.6,48.6,1748.0,1089.0,1
14.7,49.3,1603.0,1010.0,1
13.9,53.6,1611.0,1013.0,1
14.6,51.5,1624.0,1045.0,1
12.5,58.9,1543.0,925.0,1
11.5,63.1,1377.0,691.0,0
11.6,62.2,1333.0,618.0,0
10.4,67.6,1340.0,615.0,0
11.6,62.7,1414.0,722.0,0
12.4,60.0,1527.0,828.0,0
14.5,53.1,1614.0,923.0,1
16.9,46.1,1696.0,1009.0,1
19.3,38.3,1677.0,1002.0,1
21.2,31.4,1525.0,880.0,1
21.4,30.2,1490.0,879.0,0
21.9,29.0,1511.0,906.0,1
22.2,28.4,1646.0,1045.0,1
21.3,30.8,1668.0,1051.0,1
19.7,36.7,1671.0,1055.0,1
18.4,41.7,1993.0,1312.0,1
17.6,46.1,2103.0,1381.0,1
16.7,49.6,1818.0,1140.0,1
16.3,51.0,1587.0,940.0,1
14.7,55.9,1617.0,933.0,1
14.8,54.7,1547.0,872.0,0
14.0,57.0,1543.0,853.0,0
13.4,61.3,1566.0,855.0,0
11.9,67.4,1464.0,703.0,0
11.4,70.5,1584.0,830.0,0
11.3,70.2,1710.0,966.0,1
12.4,63.9,2323.0,1451.0,1
14.8,54.3,2665.0,1701.0,1
17.4,45.6,2262.0,1470.0,1
19.8,38.5,2029.0,1300.0,1
22.0,34.1,1783.0,1120.0,1
23.3,32.2,1831.0,1146.0,1
23.9,30.0,1829.0,1162.0,1
24.4,28.9,1707.0,1053.0,1
24.4,29.4,1675.0,1033.0,1
23.8,31.3,1824.0,1141.0,1
22.5,35.4,2447.0,1601.0,1
20.4,42.5,2679.0,1754.0,1
18.3,52.6,2443.0,1573.0,1
16.7,57.4,2058.0,1294.0,1
15.7,60.2,1856.0,1159.0,1
15.3,61.4,1547.0,852.0,0
14.1,65.7,1731.0,1019.0,1
14.8,60.6,1483.0,784.0,0
14.8,59.2,1386.0,640.0,0
12.8,63.2,1348.0,585.0,0
11.2,68.5,1418.0,681.0,0
11.0,66.5,1467.0,770.0,0
11.7,63.7,1889.0,1185.0,1
13.6,56.3,2055.0,1287.0,1
17.8,42.9,2211.0,1431.0,1
21.4,33.3,1973.0,1297.0,1
24.4,27.4,1868.0,1250.0,1
25.3,26.1,1998.0,1359.0,1
25.8,23.2,1897.0,1309.0,1
27.0,20.2,1675.0,1136.0,1
28.2,18.6,1759.0,1197.0,1
28.0,19.1,1739.0,1173.0,1
23.9,25.7,1778.0,1235.0,1
21.3,34.8,1875.0,1271.0,1
20.4,36.7,1776.0,1173.0,1
19.0,41.3,2106.0,1426.0,1
17.9,45.9,1710.0,1101.0,1
16.7,48.9,1560.0,943.0,0
15.5,52.9,1547.0,925.0,0
15.5,51.9,1442.0,784.0,0
14.1,55.6,1383.0,714.0,0
11.8,58.0,1268.0,554.0,0
11.9,57.4,1289.0,576.0,0
9.9,65.2,1556.0,878.0,0
11.1,60.2,1999.0,1334.0,1
14.1,50.0,2535.0,1696.0,1
17.7,40.1,2026.0,1331.0,1
21.1,33.4,1782.0,1161.0,1
24.3,28.3,1654.0,1067.0,1
25.6,25.6,1747.0,1152.0,1
25.9,25.9,1712.0,1108.0,1
26.8,18.7,1520.0,994.0,0
29.3,15.8,1679.0,1154.0,1
28.5,14.9,1525.0,1060.0,0
25.9,16.0,1981.0,1478.0,1
23.1,26.5,2414.0,1737.0,1
20.5,38.2,2416.0,1667.0,1
19.1,42.6,2174.0,1485.0,1
17.2,44.1,1727.0,1150.0,1
16.0,50.9,1778.0,1171.0,1
14.8,53.9,1669.0,1083.0,1
14.3,55.4,1502.0,904.0,0
