vehicle_count,avg_speed,traffic_density,weather,target
381,113.0,0.4,2,1
310,113.3,0.75,2,0
327,113.4,0.9,2,0
345,113.6,0.9,2,0
338,113.9,0.75,2,0
356,114.1,0.01,1,0
384,114.5,0.01,1,0
413,114.8,0.01,1,1
398,114.9,0.2,2,1
328,114.5,0.2,2,1
243,113.8,0.2,2,1
191,113.3,0.01,1,0
162,113.1,0.01,1,0
105,112.6,0.01,1,0
66,112.1,0.01,1,0
35,111.8,0.01,1,0
22,111.4,0.01,1,0
19,110.7,0.01,1,0
25,110.7,0.01,1,0
56,110.2,0.01,1,0
187,109.9,0.01,1,0
390,109.7,0.01,1,0
447,109.7,0.01,1,1
376,111.1,0.01,1,1
350,114.2,0.01,1,0
336,114.6,0.01,1,0
367,114.9,0.01,1,0
391,115.2,0.01,1,0
421,115.2,0.01,1,1
318,114.7,0.2,2,1
247,113.7,0.2,2,1
199,112.9,0.2,2,0
181,112.6,0.01,1,0
122,112.3,0.01,1,0
70,112.0,0.01,1,0
41,111.8,0.01,1,0
25,111.4,0.01,1,0
21,111.3,0.01,1,0
25,111.0,0.01,1,0
57,110.8,0.01,1,0
187,110.7,0.01,1,0
391,110.5,0.01,1,0
480,110.5,0.01,1,1
411,110.9,0.01,1,1
365,111.9,0.01,1,1
316,113.3,0.01,1,0
335,114.0,0.01,1,0
351,115.1,0.01,1,0
356,115.6,0.01,1,0
378,115.9,0.01,1,0
392,116.2,0.01,1,0
432,116.1,0.2,2,1
416,116.0,0.2,2,1
337,115.6,0.4,2,1
241,114.8,0.4,2,1
209,114.3,0.4,2,0
194,114.1,0.75,2,0
137,114.0,0.75,2,0
80,113.9,0.75,2,0
43,113.7,0.75,2,0
27,113.7,0.4,2,0
25,113.3,0.0,1,0
171,111.3,0.75,2,0
380,111.0,0.9,2,0
455,110.8,0.9,2,1
380,110.5,0.9,2,1
371,110.3,0.75,2,1
328,110.3,0.75,2,0
358,110.3,0.9,2,0
403,110.5,0.9,2,0
410,110.8,0.75,2,0
420,110.9,0.9,2,0
421,110.9,0.9,2,0
417,110.9,0.9,2,1
424,110.8,0.9,2,1
370,110.6,0.9,2,1
279,110.4,0.9,2,1
231,110.2,0.9,2,0
204,110.2,0.75,2,0
168,110.1,0.4,2,0
126,110.0,0.4,2,0
85,109.9,0.9,2,0
49,109.8,0.9,2,0
37,109.8,0.9,2,0
28,109.3,0.75,2,0
47,109.1,0.2,2,0
93,108.8,0.01,1,0
142,108.7,0.01,1,1
230,108.7,0.01,1,1
292,108.7,0.4,2,1
334,109.3,0.2,2,0
357,109.7,0.2,2,0
389,110.0,0.4,2,0
348,110.3,0.75,2,0
345,110.4,0.75,2,0
354,110.3,0.75,2,0
345,110.0,0.9,2,1
328,110.0,0.9,2,1
300,109.8,0.9,2,1
265,109.7,0.9,2,1
217,109.7,0.9,2,0
205,109.6,0.9,2,0
220,109.3,0.9,2,0
133,109.1,0.75,2,0
85,109.0,0.75,2,0
22,108.9,0.9,2,0
21,108.9,0.9,2,0
43,108.9,0.75,2,0
104,108.7,0.9,2,0
106,108.6,0.9,2,1
153,108.6,0.75,2,1
314,108.9,0.75,2,1
318,109.1,0.75,2,0
311,109.3,0.9,2,0
353,109.5,0.9,2,0
456,109.8,0.9,2,0
453,110.1,0.9,2,0
304,110.1,0.9,2,0
297,110.1,0.9,2,1
263,110.1,0.9,2,1
276,110.1,0.9,2,1
232,109.7,0.9,2,1
193,109.3,0.75,2,0
145,108.9,0.9,2,0
107,108.7,0.75,2,0
66,108.3,0.2,2,0
31,108.1,0.2,2,0
23,107.9,0.2,2,0
18,107.7,0.01,1,0
22,107.4,0.01,1,0
54,107.3,0.01,1,0
177,107.2,0.01,1,0
382,107.0,0.2,2,0
459,107.1,0.2,2,1
410,107.5,0.2,2,1
332,108.3,0.2,2,1
302,109.3,0.2,2,0
303,110.1,0.2,2,0
319,110.3,0.01,1,0
316,111.1,0.4,2,0
352,111.3,0.4,2,0
378,111.4,0.01,1,0
411,111.7,0.01,1,1
389,111.7,0.4,2,1
293,111.7,0.4,2,1
211,110.9,0.2,2,1
163,110.2,0.01,1,0
139,110.1,0.01,1,0
96,109.9,0.01,1,0
63,109.8,0.01,1,0
35,109.6,0.01,1,0
21,109.4,0.01,1,0
17,109.5,0.01,1,0
55,109.3,0.2,2,0
184,109.2,0.4,2,0
394,109.2,0.4,2,0
443,109.4,0.75,2,1
396,109.8,0.9,2,1
385,110.1,0.9,2,1
311,110.7,0.9,2,0
322,111.3,0.9,2,0
348,111.6,0.75,2,0
345,112.0,0.75,2,0
364,112.4,0.9,2,0
397,112.6,1.0,3,0
436,113.1,0.9,2,1
421,113.6,0.9,2,1
306,113.6,0.9,2,1
235,113.2,0.75,2,1
191,112.7,0.9,2,0
158,112.0,0.9,2,0
127,111.4,0.9,2,0
65,111.1,0.9,2,0
34,110.9,0.9,2,0
23,110.9,0.9,2,0
18,110.7,0.75,2,0
25,110.7,0.9,2,0
404,110.7,0.92,1,0
467,110.7,0.99,3,1
432,110.3,0.99,3,1
390,110.2,0.99,3,1
318,110.2,0.99,1,0
336,110.4,0.01,1,0
345,111.0,0.75,2,0
348,111.0,0.75,2,0
359,111.0,0.9,2,0
385,110.8,0.9,2,0
432,110.7,0.81,1,1
328,111.1,0.81,1,1
229,111.1,0.81,1,1
207,111.1,0.81,1,0
179,111.1,0.81,1,0
131,111.1,0.81,1,0
71,111.1,0.81,1,0
24,108.3,0.01,1,0
24,108.5,0.75,2,0
58,108.4,0.75,2,0
192,108.3,0.4,2,0
399,107.9,0.01,1,0
467,107.9,0.01,1,1
433,107.9,0.01,1,1
363,108.8,0.2,2,1
319,108.8,0.01,1,0
382,111.6,0.5,1,0
400,111.6,0.5,1,0
431,111.5,0.75,2,1
408,111.4,0.75,2,1
340,111.4,0.9,2,1
241,111.0,0.9,2,1
209,110.9,0.9,2,0
184,110.9,0.9,2,0
144,111.0,0.9,2,0
88,111.1,0.9,2,0
43,111.6,0.9,2,0
28,111.8,0.9,2,0
23,111.8,0.9,2,0
26,111.3,0.72,2,0
51,111.0,0.72,3,0
176,110.6,0.72,2,0
384,109.8,0.75,2,0
480,109.5,0.75,2,1
402,109.6,0.9,2,1
359,109.7,0.9,2,1
334,110.1,0.75,2,0
353,110.4,0.75,2,0
380,110.6,0.4,2,0
370,110.9,0.4,2,0
395,110.9,0.75,2,0
404,111.1,0.75,2,0
416,111.0,0.75,2,1
414,110.8,0.4,2,1
361,110.4,0.2,2,1
130,111.0,0.56,1,0
92,107.9,0.01,1,0
53,107.7,0.01,1,0
39,107.4,0.01,1,0
28,107.2,0.2,2,0
27,106.9,0.01,1,0
51,106.8,0.01,1,0
98,106.7,0.01,1,0
152,106.7,0.75,2,1
239,106.8,0.4,2,1
312,107.9,0.4,2,1
314,109.3,0.2,2,0
305,110.1,0.01,1,0
318,110.4,0.01,1,0
305,110.9,0.01,1,0
309,111.3,0.01,1,0
308,111.6,0.01,1,0
315,111.8,0.01,1,1
307,111.7,0.01,1,1
290,111.5,0.01,1,1
252,110.9,0.2,2,1
207,110.7,0.01,1,0
190,110.9,0.75,2,0
197,111.0,0.9,2,0
133,111.0,0.9,2,0
90,111.1,0.9,2,0
60,111.1,0.9,2,0
45,111.1,0.9,2,0
25,111.0,0.9,2,0
18,111.0,0.9,2,0
35,111.0,0.9,2,0
59,111.0,0.9,2,0
78,111.0,0.9,2,1
123,111.0,0.57,2,1
184,111.1,0.57,2,1
231,111.1,0.57,2,0
252,111.2,0.57,2,0
280,111.4,0.57,2,0
284,111.5,0.93,3,0
299,111.6,0.93,2,0
298,111.8,0.93,2,0
291,111.8,0.93,2,1
293,111.8,0.93,3,1
280,111.7,0.93,2,1
237,111.6,0.93,2,1
187,111.6,0.93,2,0
168,111.5,0.93,2,0
125,111.3,0.93,2,0
69,110.9,0.93,2,0
37,110.8,0.93,2,0
21,110.8,0.85,2,0
16,110.8,0.85,2,0
23,110.7,0.85,2,0
56,110.6,0.85,2,0
179,110.6,0.85,2,0
392,110.4,0.85,2,0
467,110.4,1.0,2,1
420,110.2,1.0,2,1
350,110.2,1.0,2,1
307,110.3,1.0,2,0
311,110.4,0.9,2,0
331,110.9,1.0,1,0
335,111.6,0.4,2,0
360,112.2,0.01,1,0
384,112.5,0.01,1,0
429,112.8,0.2,2,1
409,112.6,0.2,2,1
311,112.3,0.2,2,1
222,112.0,0.75,2,1
184,111.8,0.75,2,0
143,111.8,0.9,2,0
95,111.4,0.2,2,0
64,111.1,0.75,2,0
34,110.7,0.2,2,0
22,110.3,0.01,1,0
18,110.0,0.01,1,0
24,109.6,0.01,1,0
53,109.4,0.01,1,0
190,109.2,0.01,1,0
398,109.0,0.01,1,0
485,108.6,0.2,2,1
440,108.7,0.2,2,1
361,109.6,0.2,2,1
312,110.5,0.2,2,0
329,111.5,0.2,2,0
344,112.2,0.4,2,0
347,112.3,0.01,1,0
373,112.9,0.75,2,0
399,113.3,0.75,2,0
446,113.2,0.75,2,1
442,113.2,0.75,2,1
353,112.9,0.9,2,1
227,112.7,0.68,3,1
191,112.6,0.9,2,0
160,112.5,0.9,2,0
121,112.6,0.9,2,0
75,112.6,0.9,2,0
38,112.5,0.75,2,0
23,112.5,0.75,2,0
18,112.5,0.9,2,0
25,112.6,0.9,2,0
53,112.4,0.75,2,0
188,112.2,0.9,2,0
387,112.0,0.9,2,0
382,111.9,0.75,2,1
431,112.0,0.75,2,1
371,112.1,1.0,3,1
321,112.6,0.75,2,0
319,113.0,0.75,2,0
342,113.1,0.01,1,0
333,113.6,0.01,1,0
295,114.0,0.01,1,0
324,114.2,0.01,1,0
462,114.4,0.01,1,1
424,114.4,0.01,1,1
333,113.7,0.4,2,1
236,113.0,0.4,2,1
201,112.5,0.4,2,0
190,112.1,0.4,2,0
133,111.7,0.2,2,0
80,111.5,0.2,2,0
45,111.5,0.2,2,0
26,111.2,0.4,2,0
21,111.1,0.99,2,0
27,111.1,0.99,2,0
55,111.2,0.9,2,0
176,111.2,0.99,2,0
368,111.7,0.75,2,0
442,111.8,0.9,2,1
380,111.9,0.9,2,1
361,112.5,0.99,3,1
317,113.0,0.9,2,0
351,113.4,0.9,2,0
354,113.0,0.99,3,0
363,112.4,0.9,2,0
392,112.2,0.9,2,0
404,112.6,0.9,2,0
433,112.6,0.9,2,1
409,112.5,0.9,2,1
310,112.2,0.9,2,1
235,111.8,1.0,2,1
201,111.4,1.0,3,0
182,111.1,1.0,2,0
138,110.9,0.9,2,0
81,110.9,0.9,2,0
48,110.7,0.9,2,0
30,110.6,0.87,2,0
24,110.4,0.87,2,0
27,110.3,0.87,2,0
49,110.2,0.87,2,0
163,110.2,0.87,2,0
355,110.2,0.87,2,0
397,110.1,0.91,2,1
360,110.1,0.91,2,1
316,110.1,0.91,3,1
297,110.3,0.91,2,0
294,110.4,0.9,2,0
308,110.6,0.9,2,0
337,110.8,0.9,2,0
386,110.9,0.92,2,0
402,110.9,0.92,2,0
340,111.0,0.92,3,1
317,111.1,0.92,3,1
308,111.0,0.9,2,1
261,110.8,0.75,2,1
200,110.7,0.9,2,0
202,110.5,0.92,2,0
211,110.4,0.92,2,0
141,110.3,0.92,2,0
87,110.3,0.92,3,0
53,110.4,0.96,2,0
40,110.4,0.96,2,0
30,110.5,0.96,2,0
28,110.6,0.96,2,0
52,110.6,0.96,3,0
90,110.7,0.96,3,0
125,110.7,1.0,3,1
191,110.7,1.0,3,1
255,110.9,1.0,3,1
262,111.0,1.0,3,0
298,111.1,1.0,3,0
317,111.2,1.0,3,0
310,111.4,0.48,3,0
306,111.5,0.9,2,0
318,111.7,0.75,2,0
330,111.7,0.9,2,1
352,111.6,0.75,2,1
298,111.3,0.4,2,1
250,110.8,0.4,2,1
213,110.5,0.2,2,0
201,110.1,0.2,2,0
197,109.9,0.48,2,0
161,109.7,0.48,2,0
94,109.6,0.48,2,0
132,109.0,0.6,2,1
322,111.6,0.75,2,1
298,111.1,0.75,2,1
109,110.9,0.9,2,0
66,110.7,0.9,2,0
34,110.7,0.75,2,0
21,110.6,0.75,2,0
18,110.5,0.4,2,0
22,110.5,0.75,2,0
55,110.1,0.08,2,0
180,110.0,0.08,2,0
375,110.0,0.08,2,0
297,111.2,0.38,1,0
301,112.3,0.4,2,0
319,113.1,0.75,2,0
312,113.7,0.2,2,0
344,114.2,0.75,2,0
368,114.7,0.75,2,0
419,114.6,0.4,2,1
397,114.6,0.4,2,1
293,114.0,0.2,2,1
212,113.3,0.2,2,1
167,112.7,0.01,1,0
136,112.3,0.01,1,0
95,112.1,0.75,2,0
66,112.0,0.9,2,0
35,111.9,0.9,2,0
24,111.8,0.9,2,0
17,111.6,0.75,2,0
24,111.4,0.75,2,0
55,111.2,0.2,2,0
183,111.1,0.2,2,0
358,111.0,0.75,2,0
418,110.9,0.4,2,1
398,110.9,0.2,2,1
377,111.3,0.75,2,1
303,111.8,0.9,2,0
325,112.1,0.75,2,0
331,112.4,0.9,2,0
340,112.5,0.99,3,0
348,112.9,0.9,2,0
386,113.1,0.99,2,0
419,113.1,0.9,2,1
401,113.1,0.9,2,1
319,112.9,0.9,2,1
218,112.8,0.9,2,1
204,112.6,0.9,2,0
168,112.3,0.9,2,0
111,112.1,0.9,2,0
70,112.1,0.9,2,0
40,112.0,0.99,2,0
20,112.1,0.9,2,0
18,112.1,1.0,2,0
28,112.2,1.0,2,0
54,112.2,1.0,2,0
182,112.2,0.9,2,0
384,112.2,0.9,2,0
393,112.1,0.9,3,1
385,112.1,0.9,2,1
377,112.2,0.9,2,1
312,112.3,0.9,2,0
324,112.5,0.9,2,0
342,113.0,0.9,2,0
346,113.2,0.9,2,0
358,113.5,0.9,2,0
389,113.6,0.9,2,0
399,113.5,0.9,2,1
402,113.4,0.9,2,1
303,113.4,0.9,2,1
214,113.2,0.9,2,1
198,113.0,0.75,2,0
172,112.6,0.2,2,0
117,112.7,0.75,2,0
71,112.7,0.9,2,0
40,112.8,0.9,2,0
24,112.7,0.75,2,0
19,112.6,0.9,2,0
25,112.4,0.9,2,0
56,112.0,0.9,2,0
181,112.1,0.9,2,0
340,112.1,0.75,2,0
415,112.0,0.9,2,1
365,111.9,0.9,2,1
305,112.4,0.9,2,0
324,112.7,0.9,2,0
335,112.8,0.9,2,0
348,112.7,0.9,2,0
374,112.4,0.9,3,0
404,112.2,0.9,2,0
445,112.0,0.9,3,1
446,111.8,0.9,3,1
368,111.7,0.9,2,1
240,111.5,0.9,2,1
196,111.4,0.9,3,0
178,111.3,0.9,3,0
136,111.2,0.9,2,0
88,111.0,0.9,2,0
46,110.6,0.9,3,0
30,110.4,0.9,2,0
22,110.3,0.9,3,0
26,110.2,0.9,3,0
48,110.0,0.9,3,0
167,109.7,0.9,3,0
373,109.7,0.9,3,0
446,109.5,0.9,3,1
402,109.1,0.9,3,1
359,108.9,0.9,3,1
322,108.7,0.9,3,0
367,108.7,0.9,3,0
408,108.5,0.9,2,0
403,108.7,0.9,4,0
404,108.8,0.9,4,0
416,109.0,0.9,4,0
436,109.2,0.9,2,1
409,109.2,0.9,2,1
367,109.2,0.9,2,1
285,109.2,0.9,2,1
223,109.1,0.9,2,0
207,109.0,0.75,2,0
190,109.1,0.9,2,0
130,109.1,0.9,2,0
80,109.0,0.9,2,0
56,108.8,0.9,2,0
44,108.7,0.2,2,0
28,108.5,0.2,2,0
32,108.4,0.01,1,0
50,108.3,0.01,1,0
97,108.2,0.01,1,0
150,108.3,0.2,2,1
219,108.6,0.75,2,1
280,108.8,0.9,2,1
311,108.8,0.0,1,0
413,109.0,0.9,2,0
410,109.2,0.9,2,0
364,109.2,0.9,2,0
321,109.2,0.9,2,0
303,109.2,0.9,2,0
302,109.3,0.9,2,1
296,109.2,0.9,2,1
288,109.1,0.9,2,1
239,109.0,0.9,2,1
211,108.9,0.9,2,0
201,108.6,0.9,2,0
202,108.4,0.2,2,0
154,108.2,0.2,2,0
107,108.2,0.2,2,0
55,108.2,0.9,2,0
31,108.2,0.9,2,0
30,108.2,0.9,2,0
23,108.1,0.9,2,0
31,108.0,0.75,2,0
52,107.8,0.75,2,0
65,107.4,0.2,2,1
113,107.3,0.01,1,1
168,107.9,0.01,1,1
222,108.4,0.01,1,0
246,109.0,0.01,1,0
284,109.5,0.2,2,0
267,109.8,0.4,2,0
274,110.0,0.4,2,0
295,110.0,0.75,2,0
311,109.9,0.75,2,1
294,109.7,0.75,2,1
271,109.2,0.75,2,1
218,109.0,0.75,2,1
190,108.5,0.75,2,0
152,108.2,0.75,2,0
108,108.0,0.75,2,0
73,107.7,0.75,2,0
36,107.7,0.4,2,0
23,107.5,0.75,2,0
19,107.5,0.75,2,0
22,107.6,0.75,2,0
55,107.8,0.9,2,0
173,107.7,0.9,2,0
378,107.6,0.4,2,0
456,107.5,0.4,2,1
425,107.6,0.4,2,1
360,108.1,0.75,2,1
306,108.7,0.9,2,0
315,109.1,0.9,2,0
328,109.5,0.9,4,0
332,109.8,0.9,2,0
353,110.1,0.9,2,0
385,110.3,0.9,2,0
420,110.3,0.4,2,1
411,110.2,0.4,2,1
303,109.9,0.4,2,1
212,109.6,0.4,2,1
181,109.3,0.4,2,0
145,109.2,0.75,2,0
99,109.0,0.75,2,0
63,108.8,0.2,2,0
41,108.6,0.2,2,0
27,108.4,0.2,2,0
20,108.2,0.2,2,0
