Device,DeviceLabel,Domain,Model,Latency_ms,Memory_MB
raspberry_pi_zero,RPi Zero,healthcare,logistic,0.51,0.0
raspberry_pi_zero,RPi Zero,smartcity,logistic,0.74,0.0
raspberry_pi_zero,RPi Zero,environment,logistic,0.41,0.0
raspberry_pi_3,RPi 3B+,healthcare,logistic,0.23,0.0
raspberry_pi_3,RPi 3B+,smartcity,logistic,0.17,0.0
raspberry_pi_3,RPi 3B+,environment,logistic,0.17,0.0
raspberry_pi_4,RPi 4 (4GB),healthcare,random_forest,3.63,0.01
raspberry_pi_4,RPi 4 (4GB),smartcity,random_forest,4.05,0.0
raspberry_pi_4,RPi 4 (4GB),environment,random_forest,4.49,0.0
laptop,Laptop,healthcare,neural_network,0.22,0.01
laptop,Laptop,smartcity,neural_network,0.07,0.0
laptop,Laptop,environment,neural_network,0.07,0.0
